"Journal","Volume","Year","File","Start","End","DOI","Authors","Title"
"Soosiana","1","1973","01_Soosiana_1973_1_I-IV","I","IV",NA,"","Front matter"
"Soosiana","1","1973","02_Soosiana_1973_1_PinterI_1-3","1","3",NA,"Pintér István","Beköszöntő"
"Soosiana","1","1973","03_Soosiana_1973_1_Krolopp_4-6","4","6",NA,"Krolopp Endre","Dr. Soós Lajos 1879-1972"
"Soosiana","1","1973","04_Soosiana_1973_1_Baba_7-8","7","8",NA,"Bába Károly","Dr. Horváth Andor 1913-1972"
"Soosiana","1","1973","05_Soosiana_1973_1_Vass_9-10","9","10",NA,"Vass Anna","Dr. Gebhardt Antal 1887-1972"
"Soosiana","1","1973","06_Soosiana_1973_1_Szigethy_10","10","10",NA,"Szigethy Anna","Károlyi Árpád 1907-1972"
"Soosiana","1","1973","07_Soosiana_1973_1_PinterL_11-17","11","17",NA,"Pintér László","Magyarország puhatestűinek kritikai jegyzéke"
"Soosiana","1","1973","08_Soosiana_1973_1_Anonim_18","18","18",NA,"","Hírek"
"Soosiana","1","1973","09_Soosiana_1973_1_Szigethy_19-30","19","30",NA,"Szigethy Anna","A Vertigo O. F. Müller, 1774 genus magyarországi fajai (Mollusca, Gastropoda)"
"Soosiana","1","1973","10_Soosiana_1973_1_Baba_31-41","31","41",NA,"Bába Károly","A víztelenedés hatása a mocsárerdők és ligeterdők vizi puhatestűire"
"Soosiana","1","1973","11_Soosiana_1973_1_Vasarhelyi_41-42","41","42",NA,"Vásárhelyi István, ifj.","Ásotthalom csigafaunája"
"Soosiana","1","1973","12_Soosiana_1973_1_Agocsy_43-46","43","46",NA,"Agócsi Pál;Podani János","Egy Aegopis-populáció vizsgálata"
"Soosiana","1","1973","13_Soosiana_1973_1_Krolopp_47-52","47","52",NA,"Krolopp Endre","Mollusca-faunánk faunatörténeti vizsgálatának jelentősége"
"Soosiana","1","1973","14_Soosiana_1973_1_Varga_53-58","53","58",NA,"Varga András","Adatok a Cserhát puhatestű faunájához"
"Soosiana","2","1974","01_Soosiana_1974_2_I-VI","I","VI",NA,"","Front matter"
"Soosiana","2","1974","02_Soosiana_1974_2_Baba_1-6","1","6",NA,"Bába Károly","Javaslatok a magyarországi malakológiai kutatások összehangolására"
"Soosiana","2","1974","03_Soosiana_1974_2_Podani_7-16","7","16",NA,"Podani János;Szigethy Anna","Az Orculidae család magyarországi fajai"
"Soosiana","2","1974","04_Soosiana_1974_2_PinterL_17-18","17","18",NA,"Pintér László","Faunisztikai, nomenklaturai és rendszertani megjegyzések"
"Soosiana","2","1974","05_Soosiana_1974_2_Kovacs_19-25","19","25",NA,"Kovács Gyula","Adatok Nagykanizsa és környéke Mollusca-faunájához"
"Soosiana","2","1974","06_Soosiana_1974_2_Anonim_26","26","26",NA,"","Kurrens külföldi malakológiai folyóiratok magyar kutatóknál"
"Soosiana","2","1974","07_Soosiana_1974_2_PinterI_27-36","27","36",NA,"Pintér István","Újabb adatok a Dunántúl Mollusca-faunájához"
"Soosiana","2","1974","08_Soosiana_1974_2_Taylor_37-44","37","44",NA,"Taylor, D. W.","The Tertiary Gastropod Orygoceras found living = Élő harmadkori Orygocerasok"
"Soosiana","2","1974","09_Soosiana_1974_2_Rekasi_45-50","45","50",NA,"Rékásy József;Richnovszky Andor","Adatok a madarak csigatáplálékának kérdéséhez"
"Soosiana","2","1974","10_Soosiana_1974_2_Subai_51-52","51","52",NA,"Subai Péter","Idegen csigafajok Magyarország faunájában"
"Soosiana","2","1974","11_Soosiana_1974_2_Varga_53-57","53","57",NA,"Varga András","Újabb adatok a Cserhát puhatestű faunájához"
"Soosiana","2","1974","12_Soosiana_1974_2_Anonim_58","58","58",NA,"","Beszámoló"
"Soosiana","2","1974","13_Soosiana_1974_2_PinterL_59-60","59","60",NA,"Pintér László","Az Öregkő-hegy csigái Bajótnál"
"Soosiana","3","1975","01_Soosiana_1975_3_I-VI","I","VI",NA,"","Front matter"
"Soosiana","3","1975","02_Soosiana_1975_3_PinterL_1-4","1","4",NA,"Pintér László","Beszámoló az V. Európai Malakológiai Kongresszusról"
"Soosiana","3","1975","03_Soosiana_1975_3_Bachseitz_5-6","5","6",NA,"Bachseitz, H.","Mya truncata truncata (Linné 1758)"
"Soosiana","3","1975","04_Soosiana_1975_3_Krolopp_7-10","7","10",NA,"Krolopp Endre","Helicella obvia (Hartmann 1840) a magyarországi pleisztocénből"
"Soosiana","3","1975","05_Soosiana_1975_3_PinterI_11-14","11","14",NA,"Pintér István","Cecilioides petitiana (Benoit) mint növényi kártevő"
"Soosiana","3","1975","06_Soosiana_1975_3_Szigethy_15-26","15","26",NA,"S. Szigethy Anna","Az Endodontidae család magyarországi fajai"
"Soosiana","3","1975","07_Soosiana_1975_3_Baba_27-34","27","34",NA,"Bába Károly;Kovács Gyula","Adatok a Királyhágó környéke, a révi szurdokvölgy és a Tordai hasadék Mollusca-faunájához (Román Szocialista Köztársaság)"
"Soosiana","3","1975","08_Soosiana_1975_3_Mienis_35-36","35","36",NA,"Mienis, Henk K.","A note on the Miocene Neritopsis from Lapugy, Roumania = Jegyzet a lapugyi miocén Neritopsisaihoz"
"Soosiana","3","1975","09_Soosiana_1975_3_Varga_37-42","37","42",NA,"Varga András","Adatok a Karancs és a Medves puhatestű faunájához"
"Soosiana","3","1975","10_Soosiana_1975_3_Varga_43-46","43","46",NA,"Varga Zoltán","Az Anisus spirorbis L. abnormális példányairól"
"Soosiana","3","1975","11_Soosiana_1975_3_Baba_47-51","47","51",NA,"Bába Károly","Csigákat fogyasztó gerincesek. A csigák állati eredetű táplálékai"
"Soosiana","3","1975","12_Soosiana_1975_3_Paget_52-53","52","53",NA,"Paget, Oliver E.","Resolution = Az Unitas Malakologica Europaea 1974. évi szeptember havi határozata"
"Soosiana","4","1976","01_Soosiana_1976_4_I-VI","I","VI",NA,"","Front matter"
"Soosiana","4","1976","02_Soosiana_1976_4_Szonoki_1-12","1","12",NA,"Szónoky Miklós","A Nyugati Mecsek D-i előterében mélyített fúrások felső-pannóniai puhatestűinek paleoökológiai és biosztratigráfiai vizsgálata"
"Soosiana","4","1976","03_Soosiana_1976_4_Podani_13-14","13","14",NA,"Podani János","A Sashegy (Budai hg.) csigafaunája"
"Soosiana","4","1976","04_Soosiana_1976_4_Varga_15-16","15","16",NA,"Varga András","Melanoides tuberculata (Müll.) Pöstyénben (Csehszlovákia)"
"Soosiana","4","1976","05_Soosiana_1976_4_Merenyi_17-20","17","20",NA,"Merényi László","Adatok Nógrád megye csigafaunájához"
"Soosiana","4","1976","06_Soosiana_1976_4_Varga_21-26","21","26",NA,"Varga András","Az Aegopinella minor (Stabile) északi középhegységi populációinak anatómiai vizsgálata"
"Soosiana","4","1976","07_Soosiana_1976_4_PinterL_27-38","27","38",NA,"Pintér László;S. Szigethy Anna","Schnecken aus Sizilien = Sziciliai csigák"
"Soosiana","4","1976","08_Soosiana_1976_4_Mienis_39-43","39","43",NA,"Mienis, Henk K.","On the identity of Rapana pontica Nordsieck, 1969 = A Rapana pontica Nordsieck, 1969 meghatározásáról"
"Soosiana","4","1976","09_Soosiana_1976_4_Krolopp_44","44","44",NA,"Krolopp Endre","Felkérés a malakológus kollégákhoz!"
"Soosiana","4","1976","10_Soosiana_1976_4_Pinter_45-46","45","46",NA,"Pintér László;S. Szigethy Anna","Eine Schneckenausbeute aus Kuba. Ergänzungen I. = Kubai csigák. Kiegészítés I."
"Soosiana","4","1976","11_Soosiana_1976_4_Varga_47-50","47","50",NA,"Varga András","Adatok a Börzsöny hegység puhaestű faunájához"
"Soosiana","4","1976","12_Soosiana_1976_4_Krolopp_51-56","51","56",NA,"Krolopp Endre","Melanoides tuberculata (O. F. Müller 1774) a magyarországi pleisztocén képződményekből"
"Soosiana","4","1976","13_Soosiana_1976_4_Domokos_57-60","57","60",NA,"Domokos Tamás","Anisus septemgyratus (Rossmässler) és az Anisus leucostoma (Millet) fajok statisztikus vizsgálata I."
"Soosiana","4","1976","14_Soosiana_1976_4_Kovacs_61","61","61",NA,"Kovács Gyula","Az Oxychilus (Riedelius) montivagus (Kimakowicz 1890) újabb romániai lelőhelye"
"Soosiana","4","1976","15_Soosiana_1976_4_Kovacs_62","62","62",NA,"Kovács Gyula","A Cepaea nemoralis (L.) faj lelőhelye Magyarországon"
"Soosiana","5","1977","01_Soosiana_1977_5_I-VI","I","VI",NA,"","Front matter"
"Soosiana","5","1977","02_Soosiana_1977_5_Anonim_1-2","1","2",NA,"","A 2. Magyar Malakológus Találkozó Baja, 1976"
"Soosiana","5","1977","03_Soosiana_1977_5_Csongor_3-8","3","8",NA,"Csongor Győző","Czógler Kálmán a szegedi faunakutatás magvetője"
"Soosiana","5","1977","04_Soosiana_1977_5_Szonoky_9-16","9","16",NA,"Szónoky Miklós","Kagyló - féreg paleobiocönózis életnyomai a Szeged környéki mélyfúrások pannóniai üledékeiből"
"Soosiana","5","1977","05_Soosiana_1977_5_Fukoh_17-26","17","26",NA,"Fűköh Levente","A Fejér megyei Sárrét holocén Mollusca-faunájának biosztratigráfiai vizsgálata"
"Soosiana","5","1977","06_Soosiana_1977_5_Gerencser_27-34","27","34",NA,"Gerencsér László","A magyarországi Viviparus fajok szülési folyamata"
"Soosiana","5","1977","07_Soosiana_1977_5_Domokos_35-46","35","46",NA,"Domokos Tamás","Anisus septemgyratus (Rossmässler) és az Anisus leucostoma (Millet) fajok statisztikus vizsgálata II/1."
"Soosiana","5","1977","08_Soosiana_1977_5_Varga_47-50","47","50",NA,"Varga András","Malakológiai újdonságok a Mátra-hegységből"
"Soosiana","5","1977","09_Soosiana_1977_5_Baba_51-58","51","58",NA,"Bába Károly","Adatok a Szádelői völgy puhatestű faunájához. (A légszennyeződés hatásának egy megfigyelt esete)"
"Soosiana","5","1977","10_Soosiana_1977_5_Kovacs_59-62","59","62",NA,"Kovács Gyula","Újabb adatok a Vadu Crisului-i szurdokvölgy mészkőszikláinak csiga-faunájához (Román Szocialista Köztársaság)"
"Soosiana","5","1977","11_Soosiana_1977_5_Frank_63-70","63","70",NA,"Frank, Christa","A Keleti-Alpok peremén őshonos Clausilia dubia gracilior Clessin 1887 előfordulása a középső Mura-völgyben és a Mürztől délre"
"Soosiana","5","1977","12_Soosiana_1977_5_Subai_71-73","71","73",NA,"Subai Péter","Két trópusi édesvizi csigáról"
"Soosiana","6","1978","01_Soosiana_1978_6_I-VI","I","VI",NA,"","Front matter"
